keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster,priority
пилка деревьев,9651,28,28,6,arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesoruby.com;lesovod.su;udalenie-dereviev.moscow,3,not_planned,,,2,/tsenyi,НЧ,общий,arboristika,False,B
специалист по деревьям,1096,28,28,7,alpbond.org;arbogarden.ru;arborist.su;drovosek-mo.ru;forest-service.ru;treeworkers.ru;udalenie-dereviev.moscow,2,not_planned,,,8,/about,НЧ,общий,arboristika,False,B
когда обрезают березу,443,28,28,3,drovosek-mo.ru;lesoruby.com;spilservis.ru,2,not_planned,,,9,/blog/kak-pravilno-obrezat-berezu-i-formirovat-kronu,НЧ,коммерческий,,False,B
демонтаж цена,30472,28,25,4,demontazhmsk.ru;demonti.ru;snos24.ru;snosim.com,0,not_planned,,,18,/price,НЧ,коммерческий,demontazh-b2c,False,B
кто такие арбористы,159,28,26,3,arbogarden.ru;rusarbo.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,НЧ,общий,arboristika,False,B
обрезка деревьев стоимость,400,27,27,8,alpbond.org;cleaning-moscow.ru;drovosek-mo.ru;lesovod.su;liwood.ru;spilservis.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/services/obrezka-derevev/obrezka-vysokih-derevev,НЧ,коммерческий,arboristika,False,B
вывести мусор на свалку цена,68,27,27,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,6,/service/vyvoz-musora-na-poligon,НЧ,коммерческий,vyvoz-musora,False,B
вывоз строительного мусора в москве из квартиры,217,27,4,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,13,/,НЧ,коммерческий+локальный,vyvoz-musora,False,B
покос травы спил деревьев,351,27,21,4,arboristik.ru;liwood.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,7,/tsenyi,НЧ,коммерческий,arboristika,False,B
санитарная обрезка это,228,27,27,3,arborist.su;arboristik.ru;spilservis.ru,0,not_planned,,,12,/services/obrezka-derevev/sanitarnaya-obrezka-derevev,НЧ,коммерческий,,False,B
обрезка яблонь цена в подмосковье,46,27,27,3,arboristik.ru;drovosek-mo.ru;spilservis.ru,1,not_planned,,,5,/uslugi-sadovnika/obrezka-yablon-i-plodovykh-derevev,НЧ,коммерческий+локальный,,False,B
корчевание пней на участке,1049,27,27,5,arboristik.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,13,/vidy-rabot/korchevanie-pney,НЧ,коммерческий,arboristika,False,B
герметизация стыков,4373,27,27,3,alpbond.org;fasadrf.ru;formula-v.ru,0,not_planned,,,30,/germetizaciya-mezhpanelnyx-shvov,НЧ,общий,,False,B
сколько стоит покрасить крышу дома,168,27,27,3,alpbond.org;formula-v.ru;promalper.ru,2,not_planned,,,5,/pokraska-krovli.html,НЧ,коммерческий,,False,B
очистка фасадов,2466,26,26,6,alpbond.org;cleaning-moscow.ru;fasadrf.ru;formula-v.ru;moscleaning24.ru;promalper.ru,1,not_planned,,,6,/fasadnye-raboty/moika-i-chistka,НЧ,общий,,False,B
мойка фасадов в москве,301,26,26,4,alpbond.org;cleaning-moscow.ru;formula-v.ru;promalper.ru,0,not_planned,,,12,/mojka-okon-i-lodzhij/fasadov,НЧ,локальный,,False,B
вывоз мусора на авито,325,26,22,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,6,/,НЧ,коммерческий,vyvoz-musora,False,B
аренда дробилки для веток,182,26,26,6,arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;virubka-dereva.ru,1,not_planned,,,6,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,arboristika,False,B
можно ли обрезать березу,318,26,24,4,arboristik.ru;drovosek-mo.ru;lesoruby.com;spilservis.ru,1,not_planned,,,5,/blog/kak-pravilno-obrezat-berezu-i-formirovat-kronu,НЧ,коммерческий,,False,B
измельчитель пней в аренду,55,26,26,3,arborist.su;lesovod.su;udalenie-dereviev.moscow,2,not_planned,,,5,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,,False,B
опиловка деревьев расценка в смете,43,26,25,5,arbogarden.ru;arborist.su;drovosek-mo.ru;forest-service.ru;spilservis.ru,0,not_planned,,,16,/Smeta-na-vyrybky.pdf,НЧ,коммерческий,arboristika,False,B
сколько стоит делянка в лесу под спил дерева,35,26,26,3,arbogarden.ru;spilservis.ru;virubka-dereva.ru,0,not_planned,,,22,/price,НЧ,коммерческий,arboristika,False,B
распил деревьев,4368,26,26,3,drovosek-mo.ru;promalper.ru;spilservis.ru,1,not_planned,,,7,/raspil-derevev.html,НЧ,общий,arboristika,False,B
сколько стоит распилить фишку дров,38,26,26,3,drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/raschistka-uchastka-ot-porosli-i-derevev/raspilka-derevev-na-drova-tsena-stoimost,НЧ,коммерческий,,False,B
ветки липы,5875,26,24,3,drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,14,/obrezka-lipy-vesnoj-i-osenyu,НЧ,общий,,False,B
профессиональное мытье окон,1511,25,25,3,cleaning-moscow.ru;moscleaning24.ru;promalper.ru,0,not_planned,,,11,/mojka-okon.html,НЧ,общий,,False,B
вывезти мусор из квартиры,814,25,25,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,22,/,НЧ,коммерческий,vyvoz-musora,False,B
контейнер заказать для мусора москва,678,25,6,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,6,/,НЧ,коммерческий+локальный,vyvoz-musora,False,B
стоимость спила дерева на участке,42,25,25,11,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;demonti.ru;drovosek-mo.ru;lesovod.su;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,3,not_planned,,,6,/tsenyi,НЧ,коммерческий,arboristika,False,B
сколько стоит спилить одно дерево,149,25,23,6,arboristik.ru;drovosek-mo.ru;forest-service.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,5,not_planned,,,3,/tsenyi,НЧ,коммерческий,arboristika,False,B
раскорчёвка леса,97,25,25,3,arboristik.ru;forest-service.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/raschistka-uchastka-ot-derevev,НЧ,общий,,False,B
сколько стоит выкорчевать пень,158,25,25,9,alpbond.org;arboristik.ru;drovosek-mo.ru;lesoruby.com;promalper.ru;snos24.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,4,not_planned,,,4,/korchevanie-pney,НЧ,коммерческий,arboristika,False,B
спил сосны,530,25,25,3,drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,24,/spil-derevev,НЧ,коммерческий,arboristika,False,B
сколько стоит снести старый дом и вывезти его,44,25,25,3,demontazhmsk.ru;demonti.ru;snos24.ru,0,not_planned,,,13,/razobrat-dom,НЧ,коммерческий,,False,B
монтаж наружной рекламы,245,25,25,3,alpbond.org;fasadrf.ru;formula-v.ru,0,not_planned,,,18,/fasadnye-raboty/promyshlennyi-alpinizm/montazh-reklamy,НЧ,общий,,False,B
вывозка мусора,672,24,24,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,11,/,НЧ,коммерческий,vyvoz-musora,False,B
сколько стоит срубить дерево,248,24,20,11,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,5,not_planned,,,4,/tsenyi,НЧ,коммерческий,arboristika,False,B
прокат садового измельчителя,333,24,24,3,drovosek-mo.ru;spilservis.ru;virubka-dereva.ru,1,not_planned,,,9,/services/utilizatsiya-dereviev/arenda-izmelchitelya-vetok,НЧ,общий,,False,B
кто пилит деревья профессия,27,24,21,4,arbogarden.ru;lesovod.su;treeworkers.ru;udalenie-dereviev.moscow,0,not_planned,,,12,/articles/vakansiya-arborist,НЧ,общий,arboristika,False,B
услуги альпинистов,1281,24,24,4,alpbond.org;fasadrf.ru;formula-v.ru;promalper.ru,0,not_planned,,,13,/,НЧ,коммерческий,,False,B
аварийные деревья признаки по закону,31,24,24,3,arbogarden.ru;rusarbo.ru;udalenie-dereviev.moscow,1,not_planned,,,5,/stati/kak-opredelit-avarijnoe-derevo,НЧ,общий,arboristika,False,B
мойка фасада цена за м2,197,23,23,3,alpbond.org;cleaning-moscow.ru;promalper.ru,2,not_planned,,,9,/mojka-fasadov.html,НЧ,коммерческий,,False,B
очистка фасада,2466,23,23,3,cleaning-moscow.ru;moscleaning24.ru;promalper.ru,1,not_planned,,,10,/vse-uslugi/uborka-fasadov,НЧ,общий,,False,B
номер телефона вывоз мусора,1646,23,13,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,6,/,НЧ,коммерческий,vyvoz-musora,False,B
стоимость расчистки участка,256,23,23,4,alpbond.org;arboristik.ru;rusarbo.ru;virubka-dereva.ru,0,not_planned,,,11,/raschistka-uchastka-ot-derevev,НЧ,коммерческий,,False,B
измельчитель веток в прокат,224,23,22,5,arboristik.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;virubka-dereva.ru,1,not_planned,,,9,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,,False,B
борьба с короедом на плодовых деревьях,74,23,23,3,arbogarden.ru;arborist.su;virubka-dereva.ru,1,not_planned,,,4,/stati/obrabotka-dereva-ot-koroeda,НЧ,общий,arboristika,False,B
порубочный билет как выглядит,54,23,1,3,lesoruby.com;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,16,/poleznye-stati/vse-o-porubochnom-bilete,НЧ,информационный,,False,B
как срубить дерево,4272,23,23,3,arbogarden.ru;lesoruby.com;udalenie-dereviev.moscow,0,not_planned,,,21,/stati/kak-spilit-derevo-na-svoem-uchastke,НЧ,информационный,arboristika,False,B
как правильно срубить дерево бензопилой в нужном направлении,23,23,23,3,arbogarden.ru;lesoruby.com;udalenie-dereviev.moscow,0,not_planned,,,12,/stati/valka-derevev-benzopiloj,НЧ,информационный,arboristika,False,B
обучение арбористике,64,23,23,3,arbogarden.ru;drovosek-mo.ru;treeworkers.ru,0,not_planned,,,22,/blog/arborist,НЧ,общий,arboristika,False,B
утепление швов в панельных домах снаружи цена,32,22,22,4,fasadrf.ru;formula-v.ru;promalper.ru;umisky.ru,2,not_planned,,,4,/fasadnye-raboty/germetizacia-shvov/uteplenie-shvov,НЧ,коммерческий,,False,B
сколько стоит расчистка участка,195,22,20,3,arboristik.ru;spilservis.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/raschistka-uchastka-ot-derevev,НЧ,коммерческий,,False,B
резка деревьев на участке,83,22,22,7,arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesoruby.com;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,3,/tsenyi,НЧ,общий,arboristika,False,B
сколько стоит расчистить участок,345,22,20,4,arboristik.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com,1,not_planned,,,7,/raschistka-uchastka-ot-derevev,НЧ,коммерческий,,False,B
сколько стоит разобрать старый деревянный дом,53,22,22,3,demontazhmsk.ru;demonti.ru;snos24.ru,0,not_planned,,,19,/razobrat-dom,НЧ,коммерческий,arboristika,False,B
что такое арборист,53,22,22,3,arbogarden.ru;treeworkers.ru;udalenie-dereviev.moscow,2,not_planned,,,8,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,НЧ,информационный,arboristika,False,B
промышленный альпинизм мойка окон,115,21,20,5,alpbond.org;cleaning-moscow.ru;fasadrf.ru;formula-v.ru;promalper.ru,1,not_planned,,,10,/mojka-okon-i-lodzhij/vysotnaya,НЧ,общий,,False,B
вывоз мусора номер телефона,1499,21,7,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,14,/,НЧ,коммерческий,vyvoz-musora,False,B
перевозка мусора,2900,21,21,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,10,/,НЧ,общий,vyvoz-musora,False,B
монтажник альпинист,203,21,11,3,fasadrf.ru;formula-v.ru;promtehalp.ru,0,not_planned,,,17,/,НЧ,общий,,False,B
выкарчевыватель пеньков,22,21,21,3,arboristik.ru;lesovod.su;udalenie-dereviev.moscow,0,not_planned,,,27,/vidy-rabot/korchevanie-pney,НЧ,общий,,False,B
расчистка участка трактором,239,21,21,4,arbogarden.ru;arboristik.ru;drovosek-mo.ru;spilservis.ru,0,not_planned,,,14,/raschistka-uchastka-ot-derevev,НЧ,общий,,False,B
вырубка дерева,21848,21,21,7,arborist.su;arboristik.ru;drovosek-mo.ru;lesovod.su;rusarbo.ru;spilservis.ru;virubka-dereva.ru,3,not_planned,,,2,/,НЧ,общий,arboristika,False,B
разрешение на вырубку леса,352,21,21,3,arborist.su;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,18,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,НЧ,общий,arboristika,False,B
вырубка кустарников,4896,21,21,8,arborist.su;drovosek-mo.ru;forest-service.ru;lesoruby.com;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,9,/price,НЧ,общий,arboristika,False,B
порубочный лист,246,21,21,3,arborist.su;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,11,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta,НЧ,общий,,False,B
разрешение на вырубку деревьев на собственном участке,60,21,21,3,arbogarden.ru;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,25,/stati/spilit-derevo-na-svoem-uchastke,НЧ,общий,arboristika,False,B
как валить дерево,1158,21,21,3,arbogarden.ru;lesoruby.com;udalenie-dereviev.moscow,0,not_planned,,,17,/stati/valka-derevev-benzopiloj,НЧ,информационный,arboristika,False,B
чем занимается арборист,68,21,9,3,arbogarden.ru;rusarbo.ru;treeworkers.ru,0,not_planned,,,11,/stati/arboristika,НЧ,информационный,arboristika,False,B
помывка окон альпинистами,78,20,20,4,cleaning-moscow.ru;fasadrf.ru;formula-v.ru;promalper.ru,1,not_planned,,,5,/mojka-okon.html,НЧ,общий,,False,B
вывести мусор из квартиры,193,20,20,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,9,/,НЧ,общий,vyvoz-musora,False,B
цены на вывоз мусора,1180,20,20,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,15,/prices,НЧ,коммерческий,vyvoz-musora,False,B
высотные монтажные работы,551,20,20,3,alpbond.org;formula-v.ru;umisky.ru,0,not_planned,,,13,/uslugi/montazhnye-raboty,НЧ,общий,,False,B
альпинист монтажник,213,20,3,3,fasadrf.ru;promalper.ru;promtehalp.ru,0,not_planned,,,16,/service/vysotnyj-montazh-demontazh,НЧ,общий,,False,B
сколько стоит спилить дерево на участке цена,69,20,20,10,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;lesovod.su;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,3,/tsenyi,НЧ,коммерческий,arboristika,False,B
спилить деревья,20869,20,17,6,arbogarden.ru;arboristik.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,8,/,НЧ,коммерческий,arboristika,False,B
сосны спилены,834,20,20,4,arboristik.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,3,not_planned,,,3,/tsenyi,НЧ,коммерческий,arboristika,False,B
сколько стоит выкорчевать дерево,339,20,19,7,alpbond.org;arboristik.ru;forest-service.ru;lesoruby.com;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,8,/price,НЧ,коммерческий,arboristika,False,B
корчевание участка,2671,20,20,4,arboristik.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/korchevanie-pney,НЧ,коммерческий,arboristika,False,B
дробление веток в щепу цена услуги,25,20,20,9,alpbond.org;arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesovod.su;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,3,not_planned,,,6,/vidy-rabot/izmelchenie-vetok-v-shchepu,НЧ,коммерческий,,False,B
вырубка деревьев на участке московская область цена,32,20,20,8,arbogarden.ru;arborist.su;arboristik.ru;demonti.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,3,not_planned,,,7,/tsenyi,НЧ,коммерческий+локальный,arboristika,False,B
порубочный билет когда нужен,79,20,5,3,arborist.su;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,11,/advice/zakony/oformlenie-porubochnogo-bileta,НЧ,информационный,,False,B
арборист обучение,72,20,16,4,arbogarden.ru;arborist.su;treeworkers.ru;udalenie-dereviev.moscow,0,not_planned,,,19,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,НЧ,общий,arboristika,False,B
как получить порубочный талон,56,20,7,3,arborist.su;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,13,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta,НЧ,информационный,,False,B
как правильно обрезать липу,63,20,20,4,drovosek-mo.ru;lesoruby.com;spilservis.ru;udalenie-dereviev.moscow,2,not_planned,,,1,/poleznye-stati/obrezka-lipy,НЧ,коммерческий,,False,B
выкорчевыватель пней,40,20,20,3,drovosek-mo.ru;lesovod.su;udalenie-dereviev.moscow,0,not_planned,,,28,/services/udalenie-pney,НЧ,общий,arboristika,False,B
реестр порубочных билетов,110,20,20,3,lesoruby.com;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,15,/advice/zakony/oformlenie-porubochnogo-bileta,НЧ,общий,,False,B
спил деревьев авито,243,20,1,5,arbogarden.ru;drovosek-mo.ru;lesoruby.com;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,9,/udalenie-derevev-v-moskovskoi-oblasti,НЧ,коммерческий,arboristika,False,B
реставрация кирпича фасада,74,20,20,3,fasadrf.ru;formula-v.ru;promalper.ru,1,not_planned,,,5,/remont-fasada/kirpichnyi-fasad,НЧ,общий,,False,B
межпанельных швов,9263,20,19,3,fasadrf.ru;formula-v.ru;promalper.ru,0,not_planned,,,12,/uslugi/germetizatsiya-i-gidroizolyatsiya/germetizatsiya-mezhpanelnykh-shvov,НЧ,общий,,False,B
признаки аварийного дерева,130,20,20,4,arbogarden.ru;lesoruby.com;rusarbo.ru;udalenie-dereviev.moscow,2,not_planned,,,2,/stati/kak-opredelit-avarijnoe-derevo,НЧ,общий,arboristika,False,B
демонтаж фундамента цена,114,20,20,3,demonti.ru;snos24.ru;snosim.com,1,not_planned,,,9,/services/demontazh-fundamenta,НЧ,коммерческий,demontazh-b2c,False,B
муравей вывоз мусора,140,19,14,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,23,/,НЧ,коммерческий,vyvoz-musora,False,B
уборка крыш,122667,19,18,4,alpbond.org;fasadrf.ru;moscleaning24.ru;umisky.ru,1,not_planned,,,9,/sbros-snega-s-krysh,НЧ,общий,,False,B
альпинист сварщик,75,19,2,3,alpbond.org;formula-v.ru;promtehalp.ru,1,not_planned,,,10,/service/alpinisty-svarshchiki,НЧ,общий,,False,B
монтажные работы на высоте,2118,19,19,3,alpbond.org;formula-v.ru;promtehalp.ru,1,not_planned,,,7,/uslugi/montazhnye-raboty,НЧ,общий,,False,B
очистить участок от деревьев,801,19,18,5,arboristik.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;lesovod.su,0,not_planned,,,15,/raschistka-uchastka-ot-derevev,НЧ,общий,arboristika,False,B
арборист кто это и чем занимается,19,19,17,4,arbogarden.ru;arboristik.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,НЧ,информационный,arboristika,False,B
дробилка для дерева аренда,220,19,19,4,arbogarden.ru;arborist.su;arboristik.ru;lesovod.su,2,not_planned,,,6,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,arboristika,False,B
вырубка деревьев расценка в смете,91,19,19,5,arbogarden.ru;arboristik.ru;drovosek-mo.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,10,/Smeta-na-vyrybky.pdf,НЧ,коммерческий,arboristika,False,B
демонтаж деревьев,527,19,19,8,alpbond.org;arboristik.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,3,not_planned,,,3,/snos-derevev,НЧ,общий,arboristika;demontazh-b2c,True,B
арбористы это,1282,19,19,4,arbogarden.ru;arborist.su;rusarbo.ru;udalenie-dereviev.moscow,2,not_planned,,,8,/stati/arboristika,НЧ,общий,arboristika,False,B
измельчитель для веток в аренду,91,19,19,4,arbogarden.ru;drovosek-mo.ru;lesovod.su;spilservis.ru,1,not_planned,,,6,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,,False,B
расчистка земельного участка,378,19,19,3,drovosek-mo.ru;lesovod.su;spilservis.ru,0,not_planned,,,17,/raschistka-uchastka-ot-porosli-i-derevev,НЧ,общий,,False,B
как удалить пни,1737,19,19,3,drovosek-mo.ru;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,21,/poleznye-stati/kak-ubrat-pen-bez-korchevaniya-3-vernyh-sposoba,НЧ,коммерческий,arboristika,False,B
заделка швов в панельном доме снаружи,123,19,19,3,alpbond.org;fasadrf.ru;formula-v.ru,0,not_planned,,,13,/uslugi/germetizatsiya-i-gidroizolyatsiya/germetizatsiya-mezhpanelnykh-shvov,НЧ,общий,,False,B
установка баннера,1206,19,19,3,alpbond.org;formula-v.ru;promalper.ru,1,not_planned,,,10,/montazh-bannerov,НЧ,общий,,False,B
что такое кронирование деревьев,199,19,19,3,alpbond.org;drovosek-mo.ru;udalenie-dereviev.moscow,0,not_planned,,,27,/kronirovanie-derevev,НЧ,информационный,arboristika,False,B
очистка фасада здания,450,18,18,4,alpbond.org;cleaning-moscow.ru;fasadrf.ru;moscleaning24.ru,2,not_planned,,,7,/vse-uslugi/uborka-fasadov,НЧ,общий,,False,B
вывоз мусора полигон,2050,18,4,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,2,not_planned,,,7,/service/vyvoz-musora-na-poligon,НЧ,коммерческий,vyvoz-musora,False,B
вывоз спиленных деревьев,215,18,18,6,arboristik.ru;drovosek-mo.ru;rusarbo.ru;stroj-musor.moscow;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,6,/raschistka-uchastka-ot-porosli-i-derevev/vyvoz-derevev-i-kornej,НЧ,коммерческий,vyvoz-musora;arboristika,True,B
вывоз тбо московская область,422,18,17,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,14,/,НЧ,коммерческий+локальный,vyvoz-musora,False,B
вывоз строительного мусора в москве недорого,196,18,18,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,11,/,НЧ,коммерческий+локальный,vyvoz-musora,False,B
вывоз тбо в москве,237,18,18,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,2,not_planned,,,5,/,НЧ,коммерческий+локальный,vyvoz-musora,False,B
пункты приема строительного мусора,131,18,18,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,5,/stati/kuda-vyvezti-stroitelnyj-musor,НЧ,общий,vyvoz-musora,False,B
сварщик альпинист,118,18,11,3,alpbond.org;formula-v.ru;promtehalp.ru,1,not_planned,,,6,/svarochnye-raboty-na-vysote,НЧ,общий,,False,B
выкорчевать пень на участке цена,38,18,18,7,alpbond.org;arbogarden.ru;arboristik.ru;lesoruby.com;lesovod.su;promalper.ru;udalenie-dereviev.moscow,0,not_planned,,,11,/vidy-rabot/korchevanie-pney,НЧ,коммерческий,arboristika,False,B
арбориста,6478,18,18,6,arbogarden.ru;arborist.su;arboristik.ru;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/,НЧ,общий,arboristika,False,B
валка деревьев мягких пород с корня,67,18,18,9,arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesoruby.com;lesovod.su;promalper.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,13,/services/udalenie-derevev/valka-derevev,НЧ,общий,arboristika,False,B
заказать вышку для спила дерева,35,18,18,6,arbogarden.ru;arboristik.ru;spilservis.ru;treeworkers.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,1,/spil-derevev-avtovyshka,НЧ,коммерческий,arboristika,False,B
арборист спил деревьев,72,18,16,11,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;drovosek-mo.ru;forest-service.ru;lesovod.su;rusarbo.ru;spilservis.ru;treeworkers.ru;udalenie-dereviev.moscow,4,not_planned,,,3,/,НЧ,коммерческий,arboristika,False,B
как спилить березу,534,18,18,3,arboristik.ru;drovosek-mo.ru;lesoruby.com,0,not_planned,,,23,/articles/spilit-berezu,НЧ,коммерческий,arboristika,False,B
выкорчевка пней,246,18,18,6,arboristik.ru;drovosek-mo.ru;lesoruby.com;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,11,/vidy-rabot/korchevanie-pney,НЧ,общий,arboristika,False,B
сколько стоит разобрать и вывезти старый дом,24,18,18,3,arboristik.ru;demontazhmsk.ru;snosim.com,0,not_planned,,,27,/price,НЧ,коммерческий,,False,B
стоимость порубочного билета,133,18,18,4,arborist.su;forest-service.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,7,/price,НЧ,коммерческий,,False,B
спил сложных деревьев,74,18,18,10,alpbond.org;arbogarden.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;lesovod.su;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,5,not_planned,,,6,/uslugi/udalenie/slozhnykh,НЧ,коммерческий,arboristika,False,B
опиловка деревьев это,156,18,18,4,arbogarden.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,3,/advice/vyrubka/vidy-opilovki-derevev,НЧ,общий,arboristika,False,B
как убрать дерево с участка,460,18,18,3,arbogarden.ru;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,23,/stati/kak-spilit-derevo-na-svoem-uchastke,НЧ,информационный,arboristika,False,B
аренда веткоизмельчителя,93,18,18,3,arbogarden.ru;lesovod.su;udalenie-dereviev.moscow,2,not_planned,,,3,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,,False,B
покраска крыши дома цена за квадратный метр,46,18,18,3,alpbond.org;fasadrf.ru;promalper.ru,2,not_planned,,,3,/pokraska-krovli.html,НЧ,коммерческий,,False,B
промальпинисты,528,18,18,4,alpbond.org;fasadrf.ru;formula-v.ru;promalper.ru,0,not_planned,,,23,/,НЧ,общий,,False,B
покрасить крышу дома,2609,18,18,3,alpbond.org;formula-v.ru;promalper.ru,0,not_planned,,,11,/uslugi/krovelnye-raboty/pokraska-krovli,НЧ,общий,,False,B
