keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster
код по фкко твердые бытовые отходы,56,38,38,1,musor.moscow,0,not_planned,,,30,/blog/fkko-othody,НЧ,общий,vyvoz-musora,False
федеральный закон 89 фз,8093,38,38,2,gsvm.ru;musor.moscow,0,not_planned,,,30,/documentation/fz89,НЧ,общий,,False
гост р 51929 2014,102,38,38,1,musor.moscow,0,not_planned,,,39,/wp-content/uploads/2020/03/gost-r-56195-2014.pdf,НЧ,общий,,False
площадки для крупногабаритного мусора,919,38,38,2,mmusor.ru;musor.moscow,2,not_planned,,,6,/articles/kuda-i-kak-mozhno-vybrosit-krupnogabaritnyi-musor,НЧ,общий,vyvoz-musora,False
площадка тко это,312,38,38,1,musor.moscow,0,not_planned,,,11,/blog/kontejnernaja-ploshhadka,НЧ,общий,vyvoz-musora,False
как перерабатывают пластиковые бутылки,199,38,38,1,musor.moscow,0,not_planned,,,30,/blog/pererabotka-plastika,НЧ,информационный,,False
площадка для тбо,1830,38,38,1,musor.moscow,0,not_planned,,,13,/blog/kontejnernaja-ploshhadka,НЧ,общий,vyvoz-musora,False
размер площадки для сбора отходов гиг тест,103,38,19,1,musor.moscow,0,not_planned,,,11,/blog/rasstojanie-do-musornyh-kontejnerov,НЧ,общий,vyvoz-musora,False
что означает тко,1089,38,27,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,31,/stati/tko,НЧ,общий,vyvoz-musora,False
как расшифровать тко,140,38,32,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,31,/stati/tko,НЧ,информационный,vyvoz-musora,False
справочник фкко,95,38,38,1,musor.moscow,0,not_planned,,,41,/blog/fkko-othody,НЧ,общий,,False
заказать контейнер вывоз мусора,5551,38,7,2,gsvm.ru;musor.moscow,1,not_planned,,,5,/,НЧ,коммерческий,vyvoz-musora,False
уборка строительного мусора,1029,38,38,3,cleaning-moscow.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:213,14,/stati/uborka-stroitelnogo-musora,НЧ,общий,vyvoz-musora,False
как оплатить вывоз мусора,1264,38,38,1,musor.moscow,0,not_planned,,,40,/blog/oplata-za-vyvoz-musora,НЧ,коммерческий,vyvoz-musora,False
вывоз строительного мусора контейнер москва,307,38,3,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,11,/,НЧ,коммерческий+локальный,vyvoz-musora,False
мусор на планете,2134,38,38,1,musor.moscow,0,not_planned,,,13,/blog/problema-musora,НЧ,общий,vyvoz-musora,False
полигоны по утилизации строительного мусора,95,38,38,3,gsvm.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,4,/stati/poligon-dlja-stroitelnogo-musora,НЧ,общий,vyvoz-musora,False
виды отходов и их классификация,141,38,38,1,musor.moscow,0,not_planned,,,30,/blog/klassy-opasnosti-othodov,НЧ,общий,vyvoz-musora,False
что является строительным мусором,99,38,38,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,22,/blog/stroitelnyj-musor-klass-opasnosti,НЧ,общий,vyvoz-musora,False
вывоз жбо что это,179,38,37,1,musor.moscow,0,not_planned,,,36,/blog/zhidkie-othody,НЧ,коммерческий,vyvoz-musora,False
сортировка мусора для детей,1166,38,38,1,musor.moscow,0,not_planned,,,11,/blog/pro-musor-dlja-detej,НЧ,общий,vyvoz-musora,False
отходы класса д медицинские,3094,38,5,1,musor.moscow,0,not_planned,,,28,/blog/utilizacija-medicinskih-othodov,НЧ,общий,vyvoz-musora,False
постановление правительства 913,964,38,32,1,musor.moscow,0,not_planned,,,27,/wp-content/uploads/2019/07/postanovlenie-pravitelstva-913.pdf,НЧ,общий,,False
мед отходы санпин,929,38,12,2,gsvm.ru;musor.moscow,0,not_planned,,,13,/wp-content/uploads/2019/08/sanpin-2.1.7.2790-10.pdf,НЧ,общий,vyvoz-musora,False
объем мусорного контейнера в м3 стандартного образца,44,38,38,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,32,/stati/kontejnery-dlja-stroitelnogo-musora,НЧ,общий,vyvoz-musora,False
экологическая карта москвы и московской области,204,38,37,1,musor.moscow,0,not_planned,,,15,/blog/jekologija-moskovskoj-oblasti,НЧ,локальный,,False
пресс компактор для мусора,126,38,38,2,gsvm.ru;musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:91,15,/blog/press-kompaktor,НЧ,общий,vyvoz-musora,False
мусорный контейнер строительный,1075,38,8,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,7,/,НЧ,общий,vyvoz-musora,False
куда увозят мусор из мусорки,116,38,38,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,24,/stati/kuda-vyvezti-stroitelnyj-musor,НЧ,общий,vyvoz-musora,False
сжигание мусора на участке,4418,38,38,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,22,/stati/szhiganie-musora,НЧ,общий,vyvoz-musora,False
кгм расшифровка,304,38,36,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,11,/blog/krupnogabaritnyj-musor,НЧ,общий,vyvoz-musora,False
куда девать старый телевизор,1027,38,38,1,musor.moscow,1,not_planned,,,9,/blog/utilizacija-televizorov,НЧ,общий,,False
сколько платят за мусор с человека,514,38,32,1,musor.moscow,0,not_planned,,,42,/blog/oplata-za-vyvoz-musora,НЧ,информационный,vyvoz-musora,False
работа на мусоровозе в москве,160,38,34,1,musor.moscow,1,not_planned,,,9,/vakansii,НЧ,локальный,vyvoz-musora,False
класс д отходов,9811,38,2,1,musor.moscow,0,not_planned,,,12,/blog/utilizacija-medicinskih-othodov,НЧ,общий,vyvoz-musora,False
выброс мусора,7162,38,38,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,15,/blog/shtraf-za-vybros-musora,НЧ,общий,vyvoz-musora,False
мусорный строительный контейнер,1075,38,12,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,14,/,НЧ,общий,vyvoz-musora,False
категории металлолома,822,38,38,1,musor.moscow,0,not_planned,,,33,/blog/othody-metalla,НЧ,общий,,False
вывоз снега в москве с погрузкой,146,38,38,3,liwood.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,19,/vyvoz-snega-s-pogruzkoj,НЧ,коммерческий+локальный,vyvoz-musora;uborka-snega,True
мусоровоз как правильно называется,60,38,29,1,musor.moscow,0,not_planned,,,36,/blog/kamaz-musorovoz,НЧ,информационный,vyvoz-musora,False
структура и классификация медицинских отходов,169,38,38,1,musor.moscow,0,not_planned,,,34,/blog/utilizacija-medicinskih-othodov,НЧ,общий,vyvoz-musora,False
отходы 1 класса опасности что к ним относится,821,38,38,1,musor.moscow,0,not_planned,,,15,/blog/klassy-opasnosti-othodov,НЧ,общий,vyvoz-musora,False
куда девать старые телевизоры,1027,38,37,1,musor.moscow,0,not_planned,,,14,/blog/utilizacija-televizorov,НЧ,общий,,False
что можно делать пароочистителем,373,38,38,1,cleaning-moscow.ru,0,not_planned,,,35,/pravda-pro-uborku-paroochistitelem,НЧ,общий,,False
уборка квартиры раз в неделю цена,46,38,38,1,cleaning-moscow.ru,0,not_planned,,,15,/uborka-kvartir/1-raz-v-nedelyu,НЧ,коммерческий,,False
как почистить подгоревшую кастрюлю,169,38,38,1,cleaning-moscow.ru,0,not_planned,,,39,/kak-otchistit-emalirovannye-kastryuli,НЧ,коммерческий,,False
клининг это что такое простыми,420,38,5,1,cleaning-moscow.ru,1,not_planned,,,8,/chto-takoe-klining,НЧ,информационный,,False
мытье натяжных потолков цена,95,38,18,1,cleaning-moscow.ru,1,not_planned,,,10,/drugie-uslugi/mojka-potolkov,НЧ,коммерческий,,False
чем занимается клининговая компания,117,38,22,1,cleaning-moscow.ru,0,not_planned,,,38,/chto-takoe-klining,НЧ,коммерческий,,False
куда можно сдать старую мебель,202,38,38,1,cleaning-moscow.ru,0,not_planned,,,11,/vyvoz-i-utilizaciya,НЧ,общий,,False
клининг что это такое простыми,420,38,32,1,cleaning-moscow.ru,0,not_planned,,,21,/chto-takoe-klining,НЧ,общий,,False
подгорела кастрюля из нержавейки как очистить,161,38,38,1,cleaning-moscow.ru,0,not_planned,,,40,/kak-otchistit-prigorevshuyu-kastryulyu,НЧ,информационный,,False
озонация квартиры,209,38,38,1,cleaning-moscow.ru,1,not_planned,,,9,/uborka-pomeshhenij/ozonirovanie,НЧ,общий,,False
чем чистить подошву утюга,270,38,37,1,cleaning-moscow.ru,0,not_planned,,,37,/5-sovetov-kak-operativno-pochistit-utyug,НЧ,информационный,,False
генеральная уборка квартиры в москве цены,118,38,38,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,8,/price,НЧ,коммерческий+локальный,,False
клининг дома цена,382,38,38,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,21,/price,НЧ,коммерческий,,False
18 уборка,2555,38,3,2,cleaning-moscow.ru;moscleaning24.ru,2,not_planned,,,7,/uborka-kvartir/srochnaya,НЧ,общий,,False
уборка квартир как называется,521,38,27,1,cleaning-moscow.ru,0,not_planned,,,14,/chto-takoe-klining,НЧ,информационный,,False
клининг офиса москва,252,38,38,1,cleaning-moscow.ru,0,not_planned,,,12,/uborka-ofisov/na_postoyannoj_osnove,НЧ,локальный,,False
мытье потолков натяжных цена,95,38,20,1,cleaning-moscow.ru,1,not_planned,,,7,/drugie-uslugi/mojka-potolkov,НЧ,коммерческий,,False
сухая чистка ковров,1063,38,38,1,cleaning-moscow.ru,1,not_planned,,,6,/himchistka/suhaya-himchistka-kovrov,НЧ,общий,,False
как помыть батарею внутри,1130,38,37,1,cleaning-moscow.ru,0,not_planned,,,31,/pravila-mytya-batarej-otopleniya,НЧ,информационный,,False
химчистка ковров в москве с вывозом недорого и качественно,92,38,38,1,cleaning-moscow.ru,0,not_planned,,,27,/himchistka/kovrov,НЧ,коммерческий+локальный,vyvoz-musora,False
чем убрать желтый налет с пластика,43,38,38,1,cleaning-moscow.ru,0,not_planned,,,45,/5-sposobov-kak-otmyt-plastik,НЧ,информационный,,False
мусорный контейнер 8м3,311,38,35,2,mmusor.ru;stroj-musor.moscow,0,not_planned,,,20,/arenda-kontejnera-8-m3,НЧ,общий,vyvoz-musora,False
правила сжигания мусора на даче,123,38,38,1,stroj-musor.moscow,0,not_planned,,,26,/stati/szhiganie-musora,НЧ,общий,vyvoz-musora,False
фкко 8 11 100 01 49 5,96,38,25,1,stroj-musor.moscow,0,not_planned,,,19,/stati/fkko-stroitelnye-othody,НЧ,общий,,False
контейнер мусорный сколько кубов,301,38,13,1,stroj-musor.moscow,0,not_planned,,,12,/stati/kontejnery-dlja-stroitelnogo-musora,НЧ,информационный,vyvoz-musora,False
крупногабаритные отходы это,303,38,38,1,stroj-musor.moscow,0,not_planned,,,32,/stati/krupnogabaritnyj-musor,НЧ,общий,vyvoz-musora,False
региональный оператор москва,1209,38,38,1,stroj-musor.moscow,0,not_planned,,,29,/stati/tko,НЧ,локальный,,False
8 11 100 01 49 5 фкко,103,38,6,1,stroj-musor.moscow,0,not_planned,,,20,/stati/fkko-stroitelnye-othody,НЧ,общий,,False
что относится к 5 классу опасности отходов,919,38,38,1,stroj-musor.moscow,0,not_planned,,,34,/stati/klassy-opasnosti-othodov,НЧ,общий,vyvoz-musora,False
пгс полигон официальный сайт,51,38,1,1,stroj-musor.moscow,0,not_planned,,,34,/stati/poligon-dlja-stroitelnogo-musora,НЧ,общий,,False
обращение тко в квитанции что это такое,1550,38,38,1,stroj-musor.moscow,0,not_planned,,,17,/stati/tko-v-kvitancii,НЧ,общий,vyvoz-musora,False
строительный мусор вывоз,19540,38,24,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,2,not_planned,,,6,/,НЧ,коммерческий,vyvoz-musora,False
ооо полигон пгс,102,38,37,1,stroj-musor.moscow,0,not_planned,,,43,/stati/poligon-dlja-stroitelnogo-musora,НЧ,общий,,False
мск вывоз мусора,500,38,9,2,gsvm.ru;stroj-musor.moscow,0,not_planned,,,14,/,НЧ,коммерческий,vyvoz-musora,False
мусор вывоз,487974,38,38,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,8,/,НЧ,коммерческий,vyvoz-musora,False
вывоз строительного мусора москва контейнер,307,38,34,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,2,planned,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:4,2,/,НЧ,коммерческий+локальный,vyvoz-musora,False
высота 782н правила по охране труда,13232,38,5,1,umisky.ru,0,not_planned,,,41,/about/docs/797,НЧ,общий,,False
работодатель до начала выполнения работ на высоте должен утвердить,271,38,38,1,umisky.ru,0,not_planned,,,24,/about/docs/797,НЧ,общий,,False
каковы обязанности должностных лиц выдающих наряд допуск при работе на высоте,65,38,38,1,umisky.ru,0,not_planned,,,14,/about/docs/797,НЧ,общий,,False
наряд допуск на производство работ на высоте выдается,1044,38,38,1,umisky.ru,0,not_planned,,,18,/about/docs/797,НЧ,общий,,False
при невозможности установки ограждения для ограничения доступа работников зоны повышенной опасности,163,38,38,1,umisky.ru,0,not_planned,,,13,/about/docs/797,НЧ,общий,,False
какое минимальное расстояние должно быть между грузом и светильником,42,38,38,1,umisky.ru,0,not_planned,,,29,/about/docs/797,НЧ,общий,,False
с какой периодичностью ответственный исполнитель производитель работ должен осматривать леса,96,38,35,1,umisky.ru,0,not_planned,,,15,/about/docs/797,НЧ,информационный,,False
с чьего разрешения должен осуществляться демонтаж опалубки,46,38,38,1,umisky.ru,0,not_planned,,,15,/about/docs/797,НЧ,общий,demontazh-b2c,False
с какого возраста допускаются рабочие к работам на высоте,54,38,38,1,umisky.ru,0,not_planned,,,20,/about/docs/797,НЧ,общий,,False
образец наряд допуск на производство работ на высоте,386,38,15,1,umisky.ru,0,not_planned,,,46,/upload/files/dopusk-na-proizvodstvo-rabot-na-vysote.docx,НЧ,общий,,False
системы обеспечения безопасности на высоте состоят из,1919,38,38,1,umisky.ru,0,not_planned,,,29,/about/docs/797,НЧ,общий,,False
иллюминация что это такое простыми словами,38,38,13,1,liwood.ru,0,not_planned,,,44,/info/articles/vidy-novogodney-illyuminatsii,НЧ,общий,,False
как сформировать грушу,620,38,38,1,liwood.ru,0,not_planned,,,15,/info/articles/obrezka-i-formirovanie-krony-grushi,НЧ,информационный,,False
крона дерево,47646,38,19,1,liwood.ru,0,not_planned,,,46,/info/articles/kronirovanie-derevev-vidy-tsel-sposoby,НЧ,общий,arboristika,False
можно ли на своем участке спиливать деревья без разрешения,111,38,31,3,arbogarden.ru;liwood.ru;udalenie-dereviev.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:8,26,/info/articles/mozhno-li-vyrubat-derevya-na-sobstvennom-uchastke,НЧ,коммерческий,arboristika,False
когда лучше сажать грушу в подмосковье весной или осенью,42,38,37,1,liwood.ru,0,not_planned,,,41,/info/articles/posadka-derevev-v-avguste-i-sentyabre,НЧ,информационный,,False
спилить дерево у дома куда обращаться,73,38,38,3,arbogarden.ru;liwood.ru;udalenie-dereviev.moscow,1,planned,информационный,localFALLBACK-WITHFREQ-20260425T151607Z:5,9,/poleznye-stati/kuda-obrashchatsya-chtoby-spilit-derevo-okolo-doma,НЧ,коммерческий,arboristika,False
очистка крыши от снега,1904,38,38,3,alpbond.org;liwood.ru;promalper.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,14,/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega,НЧ,общий,uborka-snega,False
зарплата промышленного альпиниста,402,38,38,4,alpbond.org;liwood.ru;promalper.ru;promtehalp.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:13,28,/,НЧ,общий,,False
чем опрыскивать плодовые деревья весной от вредителей и болезней,154,38,38,1,liwood.ru,0,not_planned,,,25,/info/articles/opryskivanie-plodovykh-derevev-vesnoy,НЧ,информационный,arboristika,False
обрезка осенью яблони,413,38,0,1,liwood.ru,0,not_planned,,,25,/info/articles/obrezka-molodoy-yabloni-osenyu,НЧ,коммерческий,,False
покос травы стоимость,888,38,37,1,liwood.ru,0,not_planned,,,14,/services/uborka-territorii/pokos-travy,НЧ,коммерческий,,False
зус монтаж,215,38,3,1,alpme.ru,0,not_planned,,,11,/msk/montazh/zus,НЧ,общий,,False
покосить траву на участке цена,157,38,37,1,arboristik.ru,0,not_planned,,,39,/pokos-travy,НЧ,коммерческий,,False
пп 501,331,38,7,1,arborist.su,1,not_planned,,,2,/upload/iblock/6fc/34ztd3unmie26wfzqympztdkqbm8d8dp.pdf,НЧ,общий,,False
проект освоения лесов заказать,68,38,29,1,arborist.su,0,not_planned,,,14,/services/uslugi-arendatoram-lesnykh-uchastkov/proekt-osvoeniya-lesov-sostav-razrabotka-ekspertiza,НЧ,коммерческий,,False
ооо лес сервис,191,38,23,1,forest-service.ru,0,not_planned,,,18,/,НЧ,общий,,False
демонтаж унитаза цена за работу,233,38,38,1,demontazhmsk.ru,0,not_planned,,,35,/services/demontazh-unitazov-i-bide,НЧ,коммерческий,demontazh-b2c,False
демонтаж пола деревянного стоимость работ за м2,39,38,38,1,demontazhmsk.ru,0,not_planned,,,17,/services/demontazh-derevyannogo-pola,НЧ,коммерческий,arboristika;demontazh-b2c,True
разборка кирпичных стен,783,38,31,1,demontazhmsk.ru,0,not_planned,,,35,/services/demontazh-kirpichnyh-sten,НЧ,общий,demontazh-b2c,False
снести стену в квартире цена,48,38,38,1,demontazhmsk.ru,0,not_planned,,,32,/services/demontazh-kvartiry,НЧ,коммерческий,,False
ригельная система,2776,38,38,1,fasadrf.ru,0,not_planned,,,31,/montazh-fasada/steklianyi-fasad/sistemy-osteklenia/stoechno-rigelnye,НЧ,общий,,False
утепление межпанельных швов в панельных домах снаружи,55,38,38,3,alpbond.org;fasadrf.ru;formula-v.ru,2,not_planned,,,4,/fasadnye-raboty/germetizacia-shvov/uteplenie-shvov,НЧ,общий,,False
обшивка дома сайдингом металлическим,529,38,0,1,fasadrf.ru,1,not_planned,,,1,/montazh-fasada/saiding/metallicheskiy,НЧ,общий,,False
монтаж витражей,1785,38,38,1,fasadrf.ru,1,not_planned,,,10,/montazh-fasada/steklianyi-fasad/osteklenie/vitrazhnoe,НЧ,общий,,False
штукатурка мокрый фасад,595,38,33,1,fasadrf.ru,0,not_planned,,,36,/montazh-fasada/mokryi-fasad,НЧ,общий,,False
демонтаж сайдинга расценка в смете,90,38,38,1,fasadrf.ru,0,not_planned,,,33,/prays_list,НЧ,коммерческий,demontazh-b2c,False
фасад перфорированный,736,38,4,1,fasadrf.ru,0,not_planned,,,26,/blog/perforirovannye-fasady,НЧ,общий,,False
бесшовные панели,1595,38,37,1,fasadrf.ru,0,not_planned,,,25,/blog/besshovnye-paneli-nichina-fuge-stil-kachestvo-unikalnost,НЧ,общий,,False
пенопласт для утепления фасада под штукатурку какой брать,39,38,38,1,fasadrf.ru,0,not_planned,,,15,/blog/vybor-penoplasta-dlya-utepleniya-fasada,НЧ,информационный,,False
утепление стен пеноплексом цена за 1 м2 работы,45,38,38,2,fasadrf.ru;formula-v.ru,1,not_planned,,,8,/fasadnye-raboty/uteplenie/penopleks,НЧ,коммерческий,,False
обшивка дома металлическим сайдингом,529,38,38,1,fasadrf.ru,1,not_planned,,,7,/montazh-fasada/saiding/metallicheskiy,НЧ,общий,,False
монтаж вентфасад,1026,38,1,2,alpbond.org;fasadrf.ru,0,not_planned,,,13,/montazh-fasada/ventiliruemy-fasad,НЧ,общий,,False
расценки на работы,53051,38,38,1,fasadrf.ru,0,not_planned,,,34,/prays_list,НЧ,коммерческий,,False
покраска козлового крана,132,38,38,1,alpbond.org,1,not_planned,,,3,/pokraska-kranov,НЧ,общий,,False
утепление крыши минватой,1570,38,38,1,alpbond.org,0,not_planned,,,28,/uteplenie-krovli,НЧ,общий,,False
монтаж снегозадержателя,3229,38,38,1,alpbond.org,0,not_planned,,,15,/montazh-snegozaderzhatelej,НЧ,общий,uborka-snega,False
устройство поясов в опалубке,92,38,38,1,promalper.ru,0,not_planned,,,38,/monolitnyie-poyasa-i-ix-ustrojstvo.html,НЧ,общий,,False
стоимость чистки снега,1473,38,38,1,promalper.ru,0,not_planned,,,22,/czenyi.html,НЧ,коммерческий,uborka-snega,False
можно ли спиливать деревья на своем участке без разрешения,111,38,6,2,arbogarden.ru;udalenie-dereviev.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:8,31,/stati/spilit-derevo-na-svoem-uchastke,НЧ,коммерческий,arboristika,False
мульча щепа,911,38,23,1,udalenie-dereviev.moscow,0,not_planned,,,37,/poleznye-stati/primenenie-drevesnoj-shhepy-10-luchshih-idej,НЧ,общий,arboristika,False
щепа это что,502,38,19,1,udalenie-dereviev.moscow,1,not_planned,,,10,/poleznye-stati/primenenie-drevesnoj-shhepy-10-luchshih-idej,НЧ,общий,arboristika,False
щепа что это,502,38,19,1,udalenie-dereviev.moscow,1,not_planned,,,6,/poleznye-stati/primenenie-drevesnoj-shhepy-10-luchshih-idej,НЧ,общий,arboristika,False
чем обработать участок от клещей самостоятельно,179,38,38,1,arbogarden.ru,0,not_planned,,,42,/stati/sredstva-ot-kleshhej,НЧ,информационный,,False
как бороться с короедом в саду,71,38,36,1,arbogarden.ru,1,not_planned,,,8,/stati/obrabotka-dereva-ot-koroeda,НЧ,информационный,,False
деревья вампиры,572,38,38,1,rusarbo.ru,0,not_planned,,,26,/derevya-s-tochki-zreniya-ezoteriki,НЧ,общий,arboristika,False
дерево деревья,9785602,38,34,1,rusarbo.ru,0,not_planned,,,38,/chto-takoe-derevo,НЧ,общий,arboristika,False
клининг заказать москва,312,38,12,1,moscleaning24.ru,0,not_planned,,,27,/,НЧ,коммерческий+локальный,,False
клининг москва заказать,312,38,19,1,moscleaning24.ru,0,not_planned,,,14,/,НЧ,коммерческий+локальный,,False
график уборки квартиры на неделю,81,38,38,1,moscleaning24.ru,0,not_planned,,,20,/information/grafik-uborki-kvartiry-poleznyye-sovety-domokhozyaykam,НЧ,общий,,False
щелково клининг,119,38,1,1,moscleaning24.ru,1,not_planned,,,5,/shhelkovo,НЧ,локальный,,False
клининг котельники,86,38,34,1,moscleaning24.ru,0,not_planned,,,15,/kotelniki,НЧ,общий,,False
покупка макулатуры,880,38,38,1,gsvm.ru,1,not_planned,,,4,/pokupka-vtorsyrya/pokupka-makulatury,НЧ,общий,,False
89 федеральный закон о вывозе мусора,58,38,33,1,gsvm.ru,0,not_planned,,,36,/documentation/fz89,НЧ,коммерческий,vyvoz-musora,False
демонтаж снос зданий,766,38,14,2,demonti.ru;snos24.ru,0,not_planned,,,23,/demontazh-zdanij,НЧ,коммерческий,demontazh-b2c,False
тко тбо,2769,37,20,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,30,/blog/chto-takoe-tko,НЧ,общий,vyvoz-musora,False
старый телевизор ламповый,888,37,4,1,musor.moscow,0,not_planned,,,41,/blog/utilizacija-televizorov,НЧ,общий,,False
что делают из мусора,1235,37,37,1,musor.moscow,0,not_planned,,,37,/blog/vtorichnaja-pererabotka-othodov,НЧ,общий,vyvoz-musora,False
вывоз и обезвреживание отходов класса д осуществляется организациями по обращению с тест ответ,43,37,37,2,gsvm.ru;musor.moscow,0,not_planned,,,11,/wp-content/uploads/2020/08/sanpin-2.1.7.2790-10.pdf,НЧ,коммерческий,vyvoz-musora,False
строительные отходы 5 класса опасности перечень,38,37,37,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,8,/stati/stroitelnyj-musor-klass-opasnosti,НЧ,общий,vyvoz-musora,False
компания по вывозу мусора,2783,37,37,3,gsvm.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,6,/,НЧ,коммерческий,vyvoz-musora,False
грузчик на мусоровоз,874,37,37,1,musor.moscow,0,not_planned,,,18,/vakansii,НЧ,общий,vyvoz-musora,False
надо ли платить за вывоз мусора если в квартире никто не прописан и не проживает,39,37,16,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,37,/blog/nuzhno-li-platit-za-vyvoz-musora-kogda-ne-prozhivaesh-v-kvartire,НЧ,коммерческий,vyvoz-musora,False
дератизация санпин,967,37,16,1,musor.moscow,0,not_planned,,,23,/wp-content/uploads/2020/03/sp-3.5.3.1129-02.pdf,НЧ,общий,,False
полигон торбеево,202,37,32,1,musor.moscow,0,not_planned,,,15,/tag/torbeevo,НЧ,общий,,False
как не платить за вывоз тко если не живешь в квартире,44,37,37,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,31,/stati/platit-li-za-vyvoz-musora,НЧ,коммерческий,vyvoz-musora,False
металлоотходы как пишется правильно,38,37,36,1,musor.moscow,0,not_planned,,,43,/blog/othody-metalla,НЧ,информационный,,False
переработка ядерных отходов,519,37,37,1,musor.moscow,0,not_planned,,,26,/blog/radioaktivnye-othody,НЧ,общий,vyvoz-musora,False
код по фкко твердые коммунальные отходы,89,37,29,1,musor.moscow,0,not_planned,,,14,/blog/fkko-othody,НЧ,общий,vyvoz-musora,False
1 куб это сколько тонн,308,37,35,1,musor.moscow,0,not_planned,,,28,/blog/ves-stroitelnogo-musora,НЧ,информационный,,False
мусор от строительных и ремонтных работ,1675,37,37,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,15,/stati/stroitelnyj-musor-klass-opasnosti,НЧ,общий,vyvoz-musora,False
что делать с загрязненной ядовитыми веществами спецодеждой,144,37,37,1,musor.moscow,0,not_planned,,,38,/blog/othody-specodezhdy,НЧ,общий,,False
мусор тко что это,106,37,22,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,23,/blog/chto-takoe-tko,НЧ,общий,vyvoz-musora,False
масса мусора от разборки,154,37,37,2,musor.moscow;stroj-musor.moscow,2,not_planned,,,4,/blog/ves-stroitelnogo-musora,НЧ,общий,vyvoz-musora;demontazh-b2c,True
отходы 3 класса,9436,37,32,1,musor.moscow,0,not_planned,,,26,/blog/klassy-opasnosti-othodov,НЧ,общий,vyvoz-musora,False
отходы а,70918,37,32,1,musor.moscow,0,not_planned,,,41,/blog/utilizacija-medicinskih-othodov,НЧ,общий,vyvoz-musora,False
мега бак,364,37,37,1,musor.moscow,1,not_planned,,,2,/blog/megabak,НЧ,общий,,False
сайт фкко,461,37,16,1,musor.moscow,0,not_planned,,,15,/blog/fkko-othody,НЧ,общий,,False
отходы 3 и 4 класса опасности что к ним относится,42,37,37,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/blog/klassy-opasnosti-othodov,НЧ,общий,vyvoz-musora,False
надо ли платить за вывоз мусора если в квартире никто не проживает и не прописан,39,37,3,1,musor.moscow,0,not_planned,,,34,/blog/nuzhno-li-platit-za-vyvoz-musora-kogda-ne-prozhivaesh-v-kvartire,НЧ,коммерческий,vyvoz-musora,False
куда можно сдать телевизор,3544,37,33,1,musor.moscow,0,not_planned,,,23,/blog/utilizacija-televizorov,НЧ,общий,,False
мусоре,1903695,37,37,1,musor.moscow,1,not_planned,,,9,/blog/problema-musora,НЧ,общий,vyvoz-musora,False
4 и 5 класс опасности отходов что к ним относится,94,37,37,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,5,/blog/klassy-opasnosti-othodov,НЧ,общий,vyvoz-musora,False
куда выбрасывать крупногабаритный мусор,344,37,33,1,musor.moscow,0,not_planned,,,14,/blog/krupnogabaritnyj-musor,НЧ,общий,vyvoz-musora,False
сколько это 8 кубов,1708,37,1,1,musor.moscow,0,not_planned,,,40,/blog/ves-stroitelnogo-musora,НЧ,информационный,,False
20 м3,36369,37,26,1,musor.moscow,0,not_planned,,,14,/arenda-kontejnera-20-m3,НЧ,общий,,False
